doubletCalls,FNL.BEST.GUESS,n
DoubletFinder.DBL,"0,0",820
DoubletFinder.DBL,"1,1",799
DoubletFinder.DBL,"10,10",972
DoubletFinder.DBL,"11,11",134
DoubletFinder.DBL,"2,2",969
DoubletFinder.DBL,"3,3",785
DoubletFinder.DBL,"4,4",1013
DoubletFinder.DBL,"5,5",807
DoubletFinder.DBL,"6,6",726
DoubletFinder.DBL,"7,7",691
DoubletFinder.DBL,"8,8",776
DoubletFinder.DBL,"9,9",761
Freemuxlet.DBL,"1,0",828
Freemuxlet.DBL,"10,0",889
Freemuxlet.DBL,"10,1",1099
Freemuxlet.DBL,"10,2",992
Freemuxlet.DBL,"10,3",875
Freemuxlet.DBL,"10,4",1086
Freemuxlet.DBL,"10,5",1423
Freemuxlet.DBL,"10,6",1211
Freemuxlet.DBL,"10,7",1203
Freemuxlet.DBL,"10,8",934
Freemuxlet.DBL,"10,9",1051
Freemuxlet.DBL,"11,0",164
Freemuxlet.DBL,"11,1",267
Freemuxlet.DBL,"11,10",431
Freemuxlet.DBL,"11,2",464
Freemuxlet.DBL,"11,3",176
Freemuxlet.DBL,"11,4",238
Freemuxlet.DBL,"11,5",309
Freemuxlet.DBL,"11,6",382
Freemuxlet.DBL,"11,7",346
Freemuxlet.DBL,"11,8",247
Freemuxlet.DBL,"11,9",215
Freemuxlet.DBL,"2,0",1093
Freemuxlet.DBL,"2,1",709
Freemuxlet.DBL,"3,0",952
Freemuxlet.DBL,"3,1",772
Freemuxlet.DBL,"3,2",790
Freemuxlet.DBL,"4,0",1272
Freemuxlet.DBL,"4,1",923
Freemuxlet.DBL,"4,2",1115
Freemuxlet.DBL,"4,3",961
Freemuxlet.DBL,"5,0",1315
Freemuxlet.DBL,"5,1",1125
Freemuxlet.DBL,"5,2",1041
Freemuxlet.DBL,"5,3",971
Freemuxlet.DBL,"5,4",1512
Freemuxlet.DBL,"6,0",797
Freemuxlet.DBL,"6,1",948
Freemuxlet.DBL,"6,2",735
Freemuxlet.DBL,"6,3",731
Freemuxlet.DBL,"6,4",969
Freemuxlet.DBL,"6,5",1073
Freemuxlet.DBL,"7,0",1093
Freemuxlet.DBL,"7,1",930
Freemuxlet.DBL,"7,2",1083
Freemuxlet.DBL,"7,3",862
Freemuxlet.DBL,"7,4",1185
Freemuxlet.DBL,"7,5",1313
Freemuxlet.DBL,"7,6",978
Freemuxlet.DBL,"8,0",1119
Freemuxlet.DBL,"8,1",895
Freemuxlet.DBL,"8,2",1081
Freemuxlet.DBL,"8,3",1014
Freemuxlet.DBL,"8,4",1115
Freemuxlet.DBL,"8,5",1459
Freemuxlet.DBL,"8,6",884
Freemuxlet.DBL,"8,7",1152
Freemuxlet.DBL,"9,0",1139
Freemuxlet.DBL,"9,1",874
Freemuxlet.DBL,"9,2",1017
Freemuxlet.DBL,"9,3",1212
Freemuxlet.DBL,"9,4",1220
Freemuxlet.DBL,"9,5",1181
Freemuxlet.DBL,"9,6",1094
Freemuxlet.DBL,"9,7",1130
Freemuxlet.DBL,"9,8",1123
Singlet,"0,0",9621
Singlet,"1,1",8361
Singlet,"10,10",9615
Singlet,"11,11",1808
Singlet,"2,2",10983
Singlet,"3,3",8497
Singlet,"4,4",13052
Singlet,"5,5",9577
Singlet,"6,6",7720
Singlet,"7,7",8709
Singlet,"8,8",10098
Singlet,"9,9",7322
no freemuxlet data or ambiguous,no freemuxlet data or ambiguous,264
